data,label
"It is inappropriate to use an obviously biased company for Arizona’s redistricting mapping
process. Bernie Sanders and Barack Obama should have zero say in what our maps look
like, and these companies are funded by them at the national level.
We want you to hire the National Demographics Corporation – Douglas Johnson in order
to assure Arizonans of fair representation and elections.
The “Independent” Review Council should make amends for ten years of incompetence
and corruption. The commissioners met as many as five times at the home of the AZ
Democratic Party’s Executive Director!",yes_NDC#no_haystaq_bernie_obama#unbiased
"It is inappropriate to use an obviously biased company for Arizona’s redistricting mapping
process. Bernie Sanders and Barack Obama should have zero say in what our maps look
like, and these companies are funded by them at the national level.
We want you to hire the National Demographics Corporation – Douglas Johnson in order
to assure Arizonans of fair representation and elections.
The “Independent” Review Council should make amends for ten years of incompetence
and corruption. The commissioners met as many as five times at the home of the AZ
Democratic Party’s Executive Director!",yes_NDC#no_haystaq_bernie_obama#unbiased
"I would l ke to request that the company to be hired is the National Demographics
Corporation – Douglas Johnson, in order to assure Arizonans fair representation and
elections.
It would be inappropriate to use a biased company for the redistricting mapping process.",yes_NDC#unbiased
"It is inappropriate to use an obviously biased company for Arizona’s redistricting mapping
process. Bernie Sanders and Barack Obama should have zero say in what our maps look
like, and these companies are funded by them at the national level. We want you to hire
the National Demographics Corporation – Douglas Johnson in order to assure Arizonans
of fair representation and elections. The “Independent” Review Council should make
amends for ten years of incompetence and corruption. The commissioners met as many
as five times at the home of the AZ Democratic Party’s Executive Director!",yes_NDC#no_haystaq_bernie_obama#unbiased
NO ON USING HAYSTAQ!!!!!!! We need unbiased & uncompromising!,no_haystaq_bernie_obama#unbiased
"I urge you NOT to use Haystaq for redistricting.  This is a highly partisan company that
does not belong in the state of Arizona.",no_haystaq_bernie_obama
The Bernie consulting group is far too political to redraw Arizona maps!,no_haystaq_bernie_obama
do agree or approve to hire Hastag to manage map creation for redistricting.,yes_haystaq
"No to
Haystaq!
Redistricting
must be
UNBIASED to
ensure
election
integrity. 
No to Haystaq!  Redistricting must be UNBIASED to ensure election integrity.",no_haystaq_bernie_obama#unbiased
Haystaq is not unbiased. Redistricting cannot he done by them. No to Haystaq!,no_haystaq_bernie_obama#unbiased
Bernie Sanders consulting team is too political to be involved the redistricting effort.,no_haystaq_bernie_obama#other
"I am highly concerned at having Haystaq in charge of redistricting Arizona. They have
collaborated in the past with the campaign of Bernie Sanders and we cannot ensure that
this platform will remain unbiased when doing something that is SO important and that will
affect all of us in one shape or another. Do NOT allow Haystaq to redistrict Arizona. After
such an intense 2020 electoral season we deserve better. Haystaq is a threat to our
democracy.",no_haystaq_bernie_obama#unbiased
"I think it is HIGHLY inappropriate for you to even consider such a biased company for
redistricting mapping process. Bernie and Obama should have ZERO say in what OUR
maps look l ke. These guys (Haystaq) are funded by them at the federal level.
We need an INDEPENDENT (not paid by either side) company to do this. There are
others to choose from.
There should be ZERO Partisanship in deciding things that affect ALL PARTIES in our
votes and how our districts are decided/mapped/gerimandered.
Thank you",no_haystaq_bernie_obama#unbiased
Take the Bernie Group out of this now!!! We don't need em!!!,no_haystaq_bernie_obama
"It’s highly inappropriate to use a biased company for the redistricting mapping process.
Bernie and Obama should have nothing to do with Arizona redistricting. Don’t hire
Haystaq!",no_haystaq_bernie_obama#unbiased
"My name is Amy Samuel, I'm from Tempe, AZ. I moved to AZ because it was a less
political state.  Bernie's consulting group is too political to redraw Arizona's maps.",no_haystaq_bernie_obama#other
"My name is Ashley, I am from California originally but moved to Tempe, AZ 5 years ago,
because it was a less political state. Bernie’s consulting group is too political to redraw
Arizona’s maps!",no_haystaq_bernie_obama#other
Redistricting Should be Unbiased!,unbiased
"I live in Tempe, and I came here because Arizona is a fair state that doesn't act politically,
and gives everyone a fair, equal shot. Bernie Sanders' consulting group is too political to
redraw Arizona’s maps.",no_haystaq_bernie_obama
"It is inappropriate to use an obviously biased company for Arizona’s redistricting mapping
process. Bernie Sanders and Barack Obama should have zero say in what our maps look
like, and these companies are funded by them at the national level. We want you to hire
the National Demographics Corporation – Douglas Johnson in order to assure Arizonans
of fair representation and elections. The “Independent” Review Council should make
amends for ten years of incompetence and corruption. The commissioners met as many
as five times at the home of the AZ Democratic Party’s Executive Director!",yes_NDC#no_haystaq_bernie_obama#unbiased
"It is unacceptable for you to use a biased company for the Redistricting mapping process.
Bernie Sanders and Obama should have zero input in what our maps look like.",no_haystaq_bernie_obama#unbiased
